request#,latency_ms,success
1387,4.44,yes
1388,4.98,yes
1389,5.09,yes
1390,4.81,yes
1391,4.51,yes
1392,4.57,yes
1393,5.89,yes
1394,4.40,yes
1395,4.69,yes
1396,4.42,yes
1397,4.46,yes
1398,4.69,yes
1399,4.56,yes
1400,4.54,yes
1401,4.61,yes
1402,4.59,yes
1403,4.54,yes
1404,4.51,yes
1405,4.85,yes
1406,4.75,yes
1407,4.76,yes
1408,4.83,yes
1409,4.42,yes
1410,4.58,yes
1411,4.43,yes
1412,4.52,yes
1413,4.44,yes
1414,4.62,yes
1415,5.72,yes
1416,4.63,yes
1417,4.50,yes
1418,4.93,yes
1419,5.56,yes
1420,4.54,yes
1421,4.50,yes
1422,4.51,yes
1423,4.82,yes
1424,4.53,yes
1425,4.52,yes
1426,4.84,yes
1427,4.80,yes
1428,5.22,yes
1429,4.79,yes
1430,4.57,yes
1431,4.77,yes
1432,4.67,yes
1433,4.58,yes
1434,3.86,yes
1435,4.50,yes
1436,4.90,yes
1437,4.64,yes
1438,4.48,yes
1439,4.31,yes
1440,4.54,yes
1441,4.65,yes
1442,4.51,yes
1443,4.54,yes
1444,4.52,yes
1445,4.61,yes
1446,4.58,yes
1447,4.98,yes
1448,4.42,yes
1449,4.43,yes
1450,5.86,yes
1451,4.40,yes
1452,4.39,yes
1453,5.61,yes
1454,4.49,yes
1455,4.57,yes
1456,4.39,yes
1457,4.49,yes
1458,4.51,yes
1459,4.47,yes
1460,4.44,yes
1461,4.40,yes
1462,4.36,yes
1463,4.56,yes
1464,4.60,yes
1465,4.59,yes
1466,4.58,yes
1467,4.52,yes
1468,4.52,yes
1469,4.48,yes
1470,4.76,yes
1471,4.50,yes
1472,4.66,yes
1473,4.59,yes
1474,4.76,yes
1475,5.22,yes
1476,4.48,yes
1477,5.28,yes
1478,4.58,yes
1479,4.79,yes
1480,4.49,yes
1481,4.50,yes
1482,4.47,yes
1483,4.64,yes
1484,5.05,yes
1485,4.45,yes
1486,4.48,yes
1487,4.55,yes
1488,4.53,yes
1489,4.48,yes
1490,4.50,yes
1491,4.75,yes
1492,4.38,yes
1493,4.71,yes
